Fecha,Activa (kW),Reactiva (kVAR)
2015-09-02 01:35:00,199.50765555285716,-2.379780088157143
2015-09-02 01:36:00,197.54764229857142,-3.9226063319571423
2015-09-02 01:37:00,199.45157296285714,-2.888213566371429
2015-09-02 01:38:00,199.64299665142858,-2.7020955767
2015-09-02 01:39:00,197.67808314714284,-4.0005138942142855
2015-09-02 01:40:00,204.75148228285713,-4.761492592942857
2015-09-02 01:41:00,199.58459472714284,-4.5253704616
2015-09-02 01:42:00,200.82822963142857,-2.1587216513428573
2015-09-02 01:43:00,197.02185058571428,-6.687135968885714
2015-09-02 01:44:00,197.9406040742857,-6.530226571214286
2015-09-02 01:45:00,199.99532645142858,-4.982863834928572
2015-09-02 01:46:00,199.45898437428573,-3.9063608987000005
2015-09-02 01:47:00,198.05346679714285,-5.540833609442857
